Plant_ID,DW_Statistic
298,0.7249436111019889
3439,1.7869349210855514
3441,1.8828082054972834
3443,1.7754804927048113
3452,1.4929588534220832
3453,1.6513162756436135
3460,1.543437331977547
3469,1.7359657244990645
3470,0.33919145029145814
3490,1.394965537061882
3491,1.603699473299191
3494,1.2241144182847359
3504,1.5569574820069834
3507,1.8558620789013176
3548,1.3903950609284825
3559,1.28713572814089
3576,1.6780779714339054
3601,1.8398978467006697
3609,1.8009258354400821
3611,1.548683422069708
3612,0.9040884698259676
3628,1.4236194959016635
3631,1.2612364704150232
4195,1.3398431885554025
4266,0.9964771570054275
4937,1.2792870397911573
4939,1.7278384692958033
6146,0.4546071576140238
6178,1.1153140991457193
6179,0.4492071751185565
6180,1.090898765347939
6181,1.1441500214628548
6183,1.1709514990922365
6243,0.998552224573084
7030,0.6746497805218719
7097,0.6687946639029889
7325,0.5120105191789232
7900,0.5983462115826417
10298,0.7193209563623714
50109,1.9405313004359352
50815,0.9128675618296052
52088,0.5797324635823892
52176,1.5511704674228197
54817,1.8097778470351762
55015,0.7683859688458063
55047,0.937592514659377
55062,1.297952571776622
55086,1.3996880739929018
55091,1.611406838255553
55097,1.230995637492249
55123,1.6655582932585482
55132,1.345061753309984
55137,0.9854856108398745
55139,1.6636683238883607
55144,1.5174014219964034
55153,1.1386521886907914
55154,1.4027767795441766
55168,1.7305024762998014
55172,1.1906299313444533
55187,0.6517462635814966
55206,0.8227946717110618
55215,1.3311293353701934
55223,1.4549626019707922
55226,0.7874757909407049
55230,1.4559340742019151
55299,0.3462976349581317
55320,1.6582875751400534
55327,0.5163183167787466
55365,1.423644408670273
55464,0.5656075772913759
55470,1.271937091019338
55480,0.9433536537133682
55501,1.430632350240884
56349,1.3841853256993273
56350,1.54609465716235
56611,1.1566649030182734
56674,1.6757951923996546
56806,1.6466615618432017
58001,1.2392979229378325
58005,1.6234583448220739
58378,1.053358660820769
58471,1.0102416199920219
59812,1.109073699185162
60122,1.062309613551871
60264,1.4398713824880272
60459,1.5510448175220446
60460,1.3759062302721337
60468,1.4174842017528333
61241,1.50735280930549
61242,1.401169014528875
