,generation,co2,intensity,hydro,solar,wind,SUN_ext,WND_ext,D_ext,Wramp
count,44724.0,44724.0,44724.0,44724.0,44724.0,44724.0,44724.0,44724.0,44724.0,44724.0
mean,6.918845477970295,13.128956369910883,6.210110891940588,10.702736359188398,11.301737664577246,10.509810476792005,10.278729413324692,9.876285061248701,13.406260553630048,8.355019858160926
std,2.081730755567456,1.9062098192182713,0.24703618518042558,0.4502649016682393,0.371235629060405,0.6910053047855211,0.39304030076287294,1.0108232713328316,0.18691117480981836,0.5010110289225236
min,-1.3093333199837622,6.242950423190874,5.519362217129693,9.105313134108476,9.188094763028863,8.369157112588834,8.336390480591552,1.9459101490553132,10.894700210927542,6.665683717782408
25%,5.202095507379788,11.530232699402998,5.97324263383087,10.378012196575787,11.103633042027678,10.046678392127044,10.041334619228254,9.298259670014065,13.292622474370283,8.134467570277563
50%,6.904399654363388,13.299019270469895,6.251635114135437,10.597109620319285,11.376968275334935,10.662024454360006,10.32980049315713,10.030516600664669,13.371528608926644,8.506334448081361
75%,8.887366800297928,14.928794923895452,6.360357333995646,11.02141215223661,11.563397509219898,11.041256449738759,10.542336929688224,10.619007583947798,13.53417802252358,8.71768205216564
max,11.285397315338194,17.46006918937699,7.6617175842200975,11.739519058040287,11.89572224357715,11.678473801178352,11.45951413966427,11.468137282180095,15.228056559661043,9.154510487015513
