,generation,co2,intensity,hydro,solar,wind,SUN_ext,WND_ext,D_ext,Wramp
count,87089.0,87089.0,87089.0,87089.0,87089.0,87089.0,87089.0,87089.0,87089.0,87089.0
mean,8.723891134791774,15.033155135601064,6.309264000809289,7.2163042604302445,9.959760789873354,12.242059155911774,7.224309201720782,12.240984902174144,13.506269308596005,9.706896508939122
std,1.5784118934616906,1.5593130957712682,0.3942904762744447,0.7716136394230928,0.8790739225914198,0.5410104667732429,0.5108448850771472,0.4879557038275307,0.13330503999348925,0.35276476426715936
min,-3.912023005428146,2.387497769251122,3.8928448514048895,4.634728988229636,6.532334292222349,10.21877263241388,3.871201010907891,10.262315177792935,13.19142104679185,7.971085753505607
25%,8.20685642839965,14.45272663743365,5.97187077130944,6.725033642166843,9.355392643675321,11.921545590771693,7.061334366910438,11.956379758982427,13.391839217642966,9.498372383192251
50%,9.080003870248179,15.33893442147537,6.228068148294603,7.329749689041512,10.009737672378787,12.299298837156995,7.349873704738337,12.30702144385839,13.490889221207832,9.736074312475292
75%,9.741086263177305,15.924241616777913,6.557902246270922,7.69484807238461,10.675376595036562,12.663465846498697,7.563719668414366,12.625798911523939,13.608695468762173,9.959395184474424
max,11.963950127618162,18.647030769899832,10.979089196812861,9.075322160298095,11.570750878538615,13.29105412200864,8.377241230988792,13.116876351171562,13.830719316250226,10.738546536775496
