id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
50815,0.566,0.8,0.019,-0.009,0.005,0.053,-0.061,0.003,0.0,0.001,0.002,0.414,TX,ERCO,ERCOT,29.8161,-95.10773,NG,GAS,0.59276,643.6,Yes,3341933.0,178.527,5.473,1090658.097,5491.513683,5.342028101700423e-05,1.6376749623645956e-06,0.3263554646367836,Combined cycle,Generation
52088,0.37,1.273,0.046,0.012,0.011,0.298,-0.132,0.008,0.0,0.005,0.004,0.175,TX,ERCO,ERCOT,29.378697,-94.943829,NG,GAS,0.41207,450.0,Yes,1624382.0,170.604,2.22,432103.752,4476.129556,0.0001050270195064954,1.3666736026378032e-06,0.26601116732394225,Combined cycle,Generation
52176,0.322,0.664,0.065,-0.024,0.015,0.109,-0.167,0.011,0.0,0.012,0.006,0.039,TX,ERCO,ERCOT,32.273178,-101.422386,NG,GAS,0.30645,230.0,Yes,617443.0,348.262,1.75,336695.728,9175.748597,0.0005640391096829991,2.8342697220634133e-06,0.5453065756677135,Combined cycle,Generation
54817,0.439,1.792,0.05,0.091,0.016,0.0,-0.179,0.008,0.0,-0.007,0.004,0.083,TX,ERCO,ERCOT,32.3994,-97.4078,NG,GAS,0.3635,282.6,,899874.0,123.032,2.2,440824.688,8243.105182,0.00013672136321307205,2.4447867145844864e-06,0.4898737912196597,Combined cycle,Generation
55015,0.291,0.015,0.019,-0.006,0.005,0.231,0.0,0.003,0.964,0.0,0.002,0.885,TX,ERCO,ERCOT,29.0728,-95.745,NG,GAS,0.62576,572.0,Yes,3135505.0,250.984,6.039,1104289.104,5926.069193,8.004579804529095e-05,1.926005539777484e-06,0.35218859609536585,Combustion turbine,Generation
55047,0.365,0.637,0.054,0.031,0.013,0.017,-0.078,0.009,0.0,-0.0,0.005,0.941,TX,ERCO,ERCOT,29.72475,-95.176479,NG,GAS,0.53531,815.0,Yes,3821780.0,271.62,7.725,1537465.663,6769.282244,7.107159491127172e-05,2.021309442197091e-06,0.4022904675308364,Combined cycle,Generation
55062,0.355,1.735,0.059,0.024,0.015,0.1,-0.138,0.01,0.0,0.005,0.005,0.296,TX,ERCO,ERCOT,30.5924,-95.9178,NG,GAS,0.4495,939.7,,3700213.0,493.736,8.1,1609632.469,7319.866181,0.00013343448066368072,2.189063170147232e-06,0.43501075992111804,Combined cycle,Generation
55091,0.431,2.985,0.083,0.001,0.02,0.943,-0.308,0.014,0.0,0.006,0.007,0.366,TX,ERCO,ERCOT,32.4302,-97.0537,NG,GAS,0.25706,1734.0,,3904672.0,231.376,9.1,1787556.594,7703.34781,5.925619360601864e-05,2.3305414641741996e-06,0.4577994243818687,Combined cycle,Generation
55097,0.179,1.157,0.067,0.001,0.017,0.945,-0.162,0.011,0.0,0.013,0.006,0.02,TX,ERCO,ERCOT,33.6308,-95.59,NG,GAS,0.72048,1112.6,,7022063.0,795.353,14.9,2952070.25,7074.019985,0.0001132648624770242,2.121883554733132e-06,0.4203992829457668,Combined cycle,Generation
55123,0.281,0.626,0.071,-0.018,0.018,0.338,-0.132,0.012,0.0,-0.002,0.006,0.703,TX,ERCO,ERCOT,26.3403,-98.19,NG,GAS,0.45811,801.0,,3214481.0,167.99,6.9,1367622.25,7159.121488,5.226038044710795e-05,2.146536252664116e-06,0.4254566289239227,Combined cycle,Generation
