id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var,Unit Category
335,0.649,1.35,0.061,0.024,0.014,0.09,-0.118,0.011,0.0,0.04,0.007,0.0,CA,CISO,CAISO,33.6439,-117.9792,NG,GAS,0.01201,1021.0,,107419.0,29.994,2.8,562100.0,88052.340601,0.0002792243457861272,2.6066152170472635e-05,5.232780048222382,Combined cycle,Generation,Gas - combined cycle
358,0.298,1.423,0.094,-0.065,0.022,0.003,-0.064,0.018,0.0,0.012,0.011,0.298,CA,CISO,CAISO,34.0818,-117.2418,NG,GAS,0.28034,1167.4,,2866899.99,68.216,6.4,1270879.562,7459.238725,2.3794342403970634e-05,2.2323764422629892e-06,0.4432939992441103,Combined cycle,Generation,Gas - combined cycle
50865,0.269,-0.05,0.007,-0.007,0.002,0.001,0.018,0.001,0.0,-0.003,0.001,0.001,CA,CISO,CAISO,35.9515,-120.8679,NG,GAS,0.74714,38.9,Yes,254600.0,8.316,0.478,94909.293,6272.631523,3.266300078554596e-05,1.8774548311076197e-06,0.3727780557737628,Combustion turbine,Generation,Gas - combustion turbine
55182,0.231,0.294,0.071,-0.073,0.013,0.0,-0.065,0.012,0.0,0.012,0.007,0.093,CA,CISO,CAISO,35.2097,-119.585,NG,GAS,0.49447,685.2,,2968009.0,57.901,6.2,1237093.188,7013.624622,1.9508364024502623e-05,2.088942452667765e-06,0.4168091094063394,Combined cycle,Generation,Gas - combined cycle
55217,0.289,0.644,0.029,-0.007,0.007,0.316,-0.037,0.006,0.0,0.006,0.003,0.077,CA,CISO,CAISO,38.030071,-121.873004,NG,GAS,0.50085,678.3,Yes,2976024.0,73.012,5.91,1170915.613,6620.543527,2.453340430050295e-05,1.9858710816848252e-06,0.3934496539678443,Combined cycle,Generation,Gas - combined cycle
55295,0.278,0.558,0.054,-0.028,0.012,0.023,-0.053,0.01,0.0,0.017,0.006,0.009,CA,CISO,CAISO,33.6157,-114.6865,NG,GAS,0.36404,591.0,,1884690.0,55.697,4.2,842948.406,7526.020725,2.955234017265439e-05,2.2284831988284547e-06,0.4472610381548159,Combined cycle,Generation,Gas - combined cycle
55333,0.255,1.115,0.068,0.0,0.015,0.988,-0.069,0.012,0.0,0.007,0.007,0.352,CA,CISO,CAISO,38.0169,-121.8439,NG,GAS,0.46705,943.5,,3860213.0,121.232,8.2,1632335.469,7115.488187,3.140552088705986e-05,2.1242351134509935e-06,0.42286150246113363,Combined cycle,Generation,Gas - combined cycle
55393,0.282,0.88,0.062,-0.022,0.014,0.105,-0.058,0.011,0.0,-0.01,0.007,0.141,CA,CISO,CAISO,37.2207,-121.7457,NG,GAS,0.42866,635.0,,2384442.0,66.44,5.3,1047420.406,7391.599796,2.7863961463520606e-05,2.2227422600340036e-06,0.43927275479965544,Combined cycle,Generation,Gas - combined cycle
55400,0.21,0.022,0.019,-0.033,0.005,0.0,-0.031,0.004,0.0,0.005,0.002,0.037,CA,CISO,CAISO,35.280318,-119.470707,NG,GAS,0.61818,623.0,Yes,3373700.0,69.93,7.252,1441790.013,7190.644288,2.072798411239885e-05,2.149568722767288e-06,0.4273616542668287,Combined cycle,Generation,Gas - combined cycle
55656,0.323,1.077,0.082,-0.067,0.02,0.001,-0.111,0.016,0.0,0.029,0.01,0.004,CA,CISO,CAISO,34.9556,-118.844,NG,GAS,0.63617,779.0,,4341226.0,110.496,10.0,1991171.312,7717.914018,2.545271773457544e-05,2.3034967541427237e-06,0.45866566541341086,Combined cycle,Generation,Gas - combined cycle
55985,0.201,0.959,0.061,-0.028,0.013,0.034,-0.079,0.011,0.0,0.025,0.007,0.0,CA,CISO,CAISO,33.1197,-117.117778,NG,GAS,0.4144,559.0,,2029259.0,45.711,4.3,866860.594,7188.133698,2.252595651910377e-05,2.1190000882095384e-06,0.42718085468636585,Combined cycle,Generation,Gas - combined cycle
56026,0.159,0.217,0.055,0.001,0.012,0.941,-0.047,0.01,0.0,0.0,0.006,0.99,CA,CISO,CAISO,37.3767,-121.9508,NG,GAS,0.34792,154.0,,469352.0,12.177,1.2,228570.898,8194.623651,2.5944280625202405e-05,2.556716494230343e-06,0.4869924875147011,Combined cycle,Generation,Gas - combined cycle
56041,0.365,0.47,0.025,-0.002,0.006,0.793,-0.021,0.005,0.0,-0.003,0.003,0.399,CA,CISO,CAISO,33.9986,-118.2219,NG,GAS,0.5319,130.0,,605732.0,19.289,1.6,302156.891,8393.541203,3.1844115879629936e-05,2.6414321845304524e-06,0.4988293354156624,Combined cycle,Generation,Gas - combined cycle
56476,0.136,0.281,0.052,0.006,0.011,0.571,-0.038,0.009,0.0,0.007,0.006,0.179,CA,CISO,CAISO,38.0175,-121.7587,NG,GAS,0.52598,619.7,,2855300.0,68.869,6.3,1259066.5,7419.908241,2.4119707211151193e-05,2.206423142927188e-06,0.44095769271179913,Combined cycle,Generation,Gas - combined cycle
56803,0.185,0.847,0.15,-0.165,0.03,0.0,-0.073,0.028,0.009,0.006,0.015,0.721,CA,CISO,CAISO,36.6514,-120.5833,NG,GAS,0.14718,432.0,,556992.0,28.689,1.6,308212.5,9311.299803,5.150702344019304e-05,2.8725726760887053e-06,0.5533517537056187,Combustion turbine,Generation,Gas - combustion turbine
10349,0.121,0.391,0.14,0.012,0.033,0.717,-0.035,0.027,0.19,0.011,0.015,0.493,CA,CISO,CAISO,39.1365,-121.6397,NG,GAS,0.17577,49.5,Yes,76217.0,13.906,0.15,28903.897,6380.893641,0.00018245273364210084,1.9680648674180302e-06,0.37923162811446265,Combustion turbine,Generation,Gas - combustion turbine
260,0.251,1.197,0.077,-0.086,0.019,0.0,-0.059,0.015,0.0,0.021,0.009,0.022,CA,CISO,CAISO,36.804837,-121.782241,NG,GAS,0.19221,3102.0,,5223032.0,178.035,11.6,2185318.125,7384.056425,3.408652292384959e-05,2.2209322094905795e-06,0.41840029412035,Combined cycle,Generation,Gas - combined cycle
55518,0.176,0.561,0.078,-0.038,0.018,0.034,-0.049,0.016,0.002,0.022,0.009,0.017,CA,CISO,CAISO,34.5953,-117.3647,NG,GAS,0.40953,852.0,,3056550.0,101.736,7.1,1408691.906,7755.147634,3.328458556215341e-05,2.322880371660859e-06,0.4608764476288626,Combined cycle,Generation,Gas - combined cycle
57978,0.135,0.269,0.047,-0.011,0.01,0.245,0.013,0.009,0.135,-0.008,0.005,0.145,CA,CISO,CAISO,38.088056,-121.3875,NG,GAS,0.279,288.9,,706090.0,17.477,1.5,301036.406,7174.013936,2.4751802178192582e-05,2.1243750796640656e-06,0.426342825985356,Combined cycle,Generation,Gas - combined cycle
55077,0.231,0.374,0.083,-0.065,0.017,0.0,-0.061,0.016,0.0,0.034,0.009,0.0,NV,CISO,CAISO,35.788889,-114.994167,NG,GAS,0.21698,537.3,,1021280.0,57.031,2.4,477014.094,7859.418328,5.5842668024439915e-05,2.3499921666927778e-06,0.4670747434591885,Combined cycle,Generation,Gas - combined cycle
55847,0.132,0.274,0.184,0.126,0.044,0.004,0.012,0.03,0.693,-0.005,0.017,0.79,CA,CISO,CAISO,39.109344,-121.60931,NG,GAS,0.07129,47.0,,29351.0,20.645,0.1,20184.6,11571.612764,0.0007033831896698579,3.4070389424551123e-06,0.6876971823787945,Combustion turbine,Generation,Gas - combustion turbine
55933,0.239,1.106,0.096,-0.031,0.02,0.124,-0.099,0.017,0.0,0.007,0.011,0.521,CA,CISO,CAISO,37.7107,-121.4906,NG,GAS,0.23867,336.1,,702698.0,29.272,1.8,347113.0,8312.00103,4.165658647100176e-05,2.561555604256736e-06,0.49397180581131583,Combined cycle,Generation,Gas - combined cycle
57564,0.198,0.729,0.103,-0.079,0.02,0.0,-0.009,0.019,0.64,-0.005,0.011,0.627,CA,CISO,CAISO,36.6842,-119.5522,NG,GAS,0.11226,74.0,Yes,72771.0,4.182,0.2,31900.4,7376.269393,5.746794739662778e-05,2.748347556031936e-06,0.4383669318822058,Combined cycle,Generation,Gas - combined cycle
56143,0.17,1.876,0.218,0.282,0.053,0.0,-0.061,0.044,0.165,0.019,0.025,0.443,CA,CISO,CAISO,33.9636,-117.4528,NG,GAS,0.05867,196.0,,100731.0,5.755,0.4,62271.299,10401.968951,5.713236243063208e-05,3.970972193267217e-06,0.6181939919190715,Combustion turbine,Generation,Gas - combustion turbine
56232,0.042,0.333,0.207,-0.023,0.048,0.624,-0.08,0.042,0.055,-0.033,0.024,0.162,CA,CISO,CAISO,32.8769,-117.166389,NG,GAS,0.08535,106.0,,79253.0,6.208,0.3,48449.9,10286.936693,7.833141963080262e-05,3.785345665148322e-06,0.6113320631395657,Combustion turbine,Generation,Gas - combustion turbine
56473,0.045,0.307,0.302,0.019,0.078,0.803,-0.016,0.056,0.779,-0.009,0.031,0.759,CA,CISO,CAISO,34.0053,-117.5604,NG,GAS,0.04642,49.8,,20251.0,1.47,0.1,12393.0,10298.078644,7.258900795022467e-05,4.938027751715965e-06,0.6119697792701595,Combustion turbine,Generation,Gas - combustion turbine
56474,0.047,0.351,0.237,0.141,0.05,0.005,-0.039,0.045,0.392,-0.029,0.027,0.283,CA,CISO,CAISO,33.8073,-117.9832,NG,GAS,0.10169,49.8,,44364.0,1.628,0.1,26429.301,10024.227132,3.6696420521143266e-05,2.25407988459111e-06,0.595737557479037,Combustion turbine,Generation,Gas - combustion turbine
57482,0.196,0.988,0.161,-0.055,0.037,0.137,-0.045,0.032,0.157,0.011,0.019,0.575,CA,CISO,CAISO,33.934167,-116.571388,NG,GAS,0.08679,800.0,,608226.0,32.684,1.8,354436.297,9805.60875,5.3736604485832566e-05,2.9594262658945852e-06,0.5827378260712301,Combustion turbine,Generation,Gas - combustion turbine
57483,0.237,1.838,0.216,-0.038,0.042,0.37,-0.057,0.038,0.137,0.002,0.023,0.942,CA,CISO,CAISO,37.789167,-121.601944,NG,GAS,0.05965,199.6,,104297.0,7.715,0.4,67954.001,10963.7148,7.397144692560669e-05,3.835201396013308e-06,0.6515431987497243,Combustion turbine,Generation,Gas - combustion turbine
