id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
55985,0.055,-0.138,0.019,0.0,0.004,0.955,0.003,0.004,0.405,-0.005,0.002,0.024,CA,CISO,CAISO,33.1197,-117.117778,NG,GAS,0.4144,559.0,,2029259.0,45.711,4.3,866860.594,7188.133698,2.252595651910377e-05,2.1190000882095384e-06,0.42718085468636585,Combined cycle,Intensity
56026,0.062,-0.038,0.014,-0.005,0.003,0.1,0.004,0.003,0.093,0.003,0.002,0.079,CA,CISO,CAISO,37.3767,-121.9508,NG,GAS,0.34792,154.0,,469352.0,12.177,1.2,228570.898,8194.623651,2.5944280625202405e-05,2.556716494230343e-06,0.4869924875147011,Combined cycle,Intensity
56041,0.112,-0.075,0.007,-0.002,0.002,0.317,0.004,0.001,0.007,0.0,0.001,0.802,CA,CISO,CAISO,33.9986,-118.2219,NG,GAS,0.5319,130.0,,605732.0,19.289,1.6,302156.891,8393.541203,3.1844115879629936e-05,2.6414321845304524e-06,0.4988293354156624,Combined cycle,Intensity
56476,0.056,-0.059,0.017,-0.007,0.004,0.062,0.005,0.003,0.065,0.0,0.002,0.935,CA,CISO,CAISO,38.0175,-121.7587,NG,GAS,0.52598,619.7,,2855300.0,68.869,6.3,1259066.5,7419.908241,2.4119707211151193e-05,2.206423142927188e-06,0.44095769271179913,Combined cycle,Intensity
56803,0.06,-0.045,0.019,0.016,0.004,0.0,0.007,0.004,0.052,-0.002,0.002,0.299,CA,CISO,CAISO,36.6514,-120.5833,NG,GAS,0.14718,432.0,,556992.0,28.689,1.6,308212.5,9311.299803,5.150702344019304e-05,2.8725726760887053e-06,0.5533517537056187,Combustion turbine,Intensity
10349,0.152,-0.11,0.03,-0.012,0.007,0.1,0.014,0.006,0.015,0.001,0.003,0.763,CA,CISO,CAISO,39.1365,-121.6397,NG,GAS,0.17577,49.5,Yes,76217.0,13.906,0.15,28903.897,6380.893641,0.00018245273364210084,1.9680648674180302e-06,0.37923162811446265,Combustion turbine,Intensity
260,0.13,-0.404,0.039,0.033,0.01,0.001,0.008,0.008,0.271,-0.001,0.005,0.811,CA,CISO,CAISO,36.804837,-121.782241,NG,GAS,0.19221,3102.0,,5223032.0,178.035,11.6,2185318.125,7384.056425,3.408652292384959e-05,2.2209322094905795e-06,0.41840029412035,Combined cycle,Intensity
55518,0.131,-0.132,0.024,-0.002,0.005,0.755,0.01,0.005,0.031,-0.006,0.003,0.039,CA,CISO,CAISO,34.5953,-117.3647,NG,GAS,0.40953,852.0,,3056550.0,101.736,7.1,1408691.906,7755.147634,3.328458556215341e-05,2.322880371660859e-06,0.4608764476288626,Combined cycle,Intensity
57978,0.149,-0.06,0.011,0.002,0.002,0.295,-0.004,0.002,0.066,0.002,0.001,0.053,CA,CISO,CAISO,38.088056,-121.3875,NG,GAS,0.279,288.9,,706090.0,17.477,1.5,301036.406,7174.013936,2.4751802178192582e-05,2.1243750796640656e-06,0.426342825985356,Combined cycle,Intensity
55077,0.116,-0.113,0.036,0.017,0.007,0.023,0.027,0.007,0.0,-0.015,0.004,0.0,NV,CISO,CAISO,35.788889,-114.994167,NG,GAS,0.21698,537.3,,1021280.0,57.031,2.4,477014.094,7859.418328,5.5842668024439915e-05,2.3499921666927778e-06,0.4670747434591885,Combined cycle,Intensity
